Class,Support,Predicted,Correct,Precision,Recall,F1,Accuracy
plane,1000,1062,798,0.751,0.798,0.774,0.798
car,1000,1043,893,0.856,0.893,0.874,0.893
bird,1000,820,582,0.71,0.582,0.64,0.582
cat,1000,1046,575,0.55,0.575,0.562,0.575
deer,1000,943,660,0.7,0.66,0.679,0.66
dog,1000,1112,694,0.624,0.694,0.657,0.694
frog,1000,908,753,0.829,0.753,0.789,0.753
horse,1000,1051,813,0.774,0.813,0.793,0.813
ship,1000,1079,872,0.808,0.872,0.839,0.872
truck,1000,936,816,0.872,0.816,0.843,0.816
