Class,Support,Predicted,Correct,Precision,Recall,F1,Accuracy
plane,1000,1010,776,0.768,0.776,0.772,0.776
car,1000,953,842,0.884,0.842,0.862,0.842
bird,1000,1104,645,0.584,0.645,0.613,0.645
cat,1000,1441,602,0.418,0.602,0.493,0.602
deer,1000,702,514,0.732,0.514,0.604,0.514
dog,1000,1275,712,0.558,0.712,0.626,0.712
frog,1000,577,528,0.915,0.528,0.67,0.528
horse,1000,995,771,0.775,0.771,0.773,0.771
ship,1000,1070,860,0.804,0.86,0.831,0.86
truck,1000,873,757,0.867,0.757,0.808,0.757
