Class,Support,Predicted,Correct,Precision,Recall,F1,Accuracy
plane,1000,980,795,0.811,0.795,0.803,0.795
car,1000,915,844,0.922,0.844,0.881,0.844
bird,1000,1085,720,0.664,0.72,0.691,0.72
cat,1000,1273,672,0.528,0.672,0.591,0.672
deer,1000,862,656,0.761,0.656,0.705,0.656
dog,1000,1080,689,0.638,0.689,0.662,0.689
frog,1000,658,626,0.951,0.626,0.755,0.626
horse,1000,1086,845,0.778,0.845,0.81,0.845
ship,1000,1135,916,0.807,0.916,0.858,0.916
truck,1000,926,821,0.887,0.821,0.853,0.821
